agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
1,"Dopravni podnik hl. m. Prahy, akciova spolecnost",http://www.dpp.cz,Europe/Prague,cs,"296191817"
6,"Jaroslav Stepanek",http://www.ropid.cz,Europe/Prague,cs,"284821024"
11,"CSAD POLKOST, spol. s r.o.",http://www.ropid.cz,Europe/Prague,cs,"321697274"
63,"ABOUT ME s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"267290540"
18,"Veolia Transport Praha s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"+420234125233"
10,"CSAD Stredni Cechy, a.s.",http://www.ropid.cz,Europe/Prague,cs,"326911954, 315671659"
29,"STENBUS s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"739 319 344"
13,"Okresni autobusova doprava Kolin, s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"321622352"
21,"BOSAK BUS, spol. s r.o.",http://www.ropid.cz,Europe/Prague,cs,"318521020"
8,"CSAD MHD Kladno a.s.",http://www.ropid.cz,Europe/Prague,cs,"312825163"
17,"Martin UHER, spol. s r.o.",http://www.ropid.cz,Europe/Prague,cs,"318590513"
22,"PROBO BUS a.s.",http://www.ropid.cz,Europe/Prague,cs,"257318436"
14,"PROBO BUS a.s.",http://www.ropid.cz,Europe/Prague,cs,"311612561"
26,"Vlastimil Slezak",http://www.ropid.cz,Europe/Prague,cs,"233930928"
41,"Prazske Benatky  s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"776 776 779,734 572 231"
42,"Vittus group s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"739 000 022"
28,"CITYLINER s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"283890069-70"
9,"HOTLINER s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"283890069-70"
12,"CSAD Benesov a.s.",http://www.ropid.cz,Europe/Prague,cs,"317722577"
